Num,¿Sobre qué temas crees que hace falta que los jóvenes nos sentemos a hablar ?,Categorías
99,Estudios,Educación
100,Educacion,Educación
101,,Educación
102,Educación ,Educación
103,,Educación
104,Educación ,Educación
105,Problemática infantil en su aprendizaje.,Educación
106,Estudio,Educación
107,Desarrollo de nivel académico,Educación
108,Calidad educativa de escuelas privadas y del pago a los maestros ,Educación
109,"Educacion y sus reformas, planes de estudio,, ",Educación
110,Deserción escolar,Educación
111,aprovechamiento para entrar q las universidades ,Educación
112,,Educación
113,Educación ,Educación
114,,Educación
115,Materias que se imparten en las escuelas ,Educación
116,Empoderamiento ,Educación
117,"Sobre temas en los que las principales afectadas son las mujeres,",Empoderamiento de la mujer
118,Sobre el empoderamiento a la mujer en empresas donde su mayoría son hombres ,Empoderamiento de la mujer
119,La mujer,Empoderamiento de la mujer
120,Emprendimiento ,Emprendimiento
121,Emprendimiento,Emprendimiento
122,Sobre emprendimiento,Emprendimiento
123,Emprendimiento,Emprendimiento
124,,Emprendimiento
125,Emprendimiento con impacto en la industria.,Emprendimiento
126,Cómo generar oportunidades para los emprendedores.,Emprendimiento
127,Iniciativas para el emprendimiento de proyectos  ,Emprendimiento
128,"Emprendimiento, negocios ",Emprendimiento
129,,Emprendimiento
130,Emprendimiento en jóvenes,Emprendimiento
131,,Emprendimiento
132,desarrollo del emprendedor,Emprendimiento
133,,Emprendimiento
134,,Emprendimiento
135,,Emprendimiento
136,Estrategias sobre cómo comenzar un emprendimiento propio.,Emprendimiento
137,Temas relacionados a nuevas formas de emprender y de ser una profesionista independiente.,Emprendimiento
138,,Emprendimiento
139,emprendimiento ,Emprendimiento
140,Sobre emprendimiento ,Emprendimiento
141,emprendimiento ,Emprendimiento
142,Emprendimientos ,Emprendimiento
143,Emprendimiento ,Emprendimiento
144,,Emprendimiento
145,"Emprendimiento, ",Emprendimiento
146,,Emprendimiento
147,Emprendimiento,Emprendimiento
148,,Emprendimiento
149,Emprender,Emprendimiento
150,Emprendimiento ,Emprendimiento 
151,Emprendimiento,Emprendimiento 
152,Emprendimiento ,Emprendimiento 
153,Emprendimiento ,Emprendimiento 
154,"Cómo emprender, red de apoyo para negocios locales ",Emprendimiento 
155,Sector empresarial,Empresarial
156,Empresariales,Empresarial
157,Límites ambiento empresarial,Empresarial
158,Estrategias empresariales  ,Empresarial
159,relaciones empresariales ,Empresarial
160,Sobre negocios,Empresarial
161,Negocios ,Empresarial
162,Administración,Empresarial
163," responsabilidad empresarial, responsabilidad del consumidor,",Empresarial
164,Profundizando igualdad de derechos,Equidad de género
165,,Equidad de género
166,Sobre la igualdad ,Equidad de género
167,Igual de género,Equidad de género
168,,Equidad de género
169,roles de género,Equidad de género
170,,Equidad de género
171,genero,Equidad de género
172,Igualdad ,Equidad de género
173,Equidad e igualdad ,Equidad de género
174,Equidad ,Equidad de género
175,"Igualdad de género, ver las cosas con nuevas perspectivas ",Equidad de género
176,Equidad,Equidad de género
177,estrategias de equidad de género,Equidad de género
178,Igualdad y respeto a los demás ,Equidad de género
179,Igualdad de género ,Equidad de género
180,"Igualdad, sexismo, machismo.",Equidad de género
181,Equidad de género ,Equidad de género
182,Género,Equidad de género
183,,Equidad de género
184,Equidad de género ,Equidad de género
185,Equidad de genero,Equidad de género
186,Equidad de género ,Equidad de género
187,,Espiritualidad
188,Feminismo,Feminismo
189,,Feminismo
190,,Feminismo
191,,Feminismo
192,Feminismo ,Feminismo
193,,Feminismo
194,"Feminismo, porque la mayoria lo ridiculiza y no debe de ser así ",Feminismo
195,Feminismo ,Feminismo
196,,Feminismo
197,,Filosofia
198,"Gestión de gastos, opciones de inversión",Finanzas
199,Educación financiera ,Finanzas
200,Impuestos,Finanzas
201,Finanzas ,Finanzas
202,Finanzas Personales y de sus negocios,Finanzas
203,Finanzas personales ,Finanzas
204,,Finanzas
205,Herramientas financieras,Finanzas
206,,Finanzas
207,Retiro,Finanzas
208,"Educación financiera, Nuestro retiro",Finanzas
209,Seguridad financiera,Finanzas
210,Educación financiera,Finanzas
211,Administración de ahorros,Finanzas
212,Cómo manejar el dinero ,Finanzas
213,"Asuntos financieros (SAT, RFC)",Finanzas
214,"Que debemos hacer cuando ya seamos grandes ( finanzas, impuestos, etc)",Finanzas
215,Un plan de retiro ,Finanzas
216,Sobre finanzas ,Finanzas
217,"Sobre como funicona el sat, finanzas a futuro, planes de retiro,, inteligencia finaciera, uso adecuado de trajetas ",Finanzas
218,Inversiones,Finanzas
219,Finanzas ,Finanzas
220,ahorro para el retiro,Finanzas
221,Responsabilidad económica,Finanzas
222,Finanzas ,Finanzas
223,,Finanzas
224,Sobre el SAT ,Finanzas
225,Finanzas,Finanzas
226,Estabilidad económica ,Finanzas
227,Educación financiera ,Finanzas
228,Educación financiera ,Finanzas
229,"De todo, finanzas principalmente",Finanzas
230,"sat, ahorrar",Finanzas
231,Impuestos ,Finanzas
232, educación financiera,Finanzas
233,Financiera ,Finanzas
234,Educación financiera ,Finanzas
235,,Finanzas
236,,Finanzas
237,Educación financiera,Finanzas
238,Impuestos y financiamientos,Finanzas
239,El retiro,Finanzas
240,,Finanzas
241,Cultura financiera ,Finanzas
242,Educación financiera,Finanzas
243,"como llevar una buena vida adulta (SAT, pagos a gobierno, intereses, etc)",Finanzas
244,Educación financiera,Finanzas
245,temas financieros,Finanzas
246,,Finanzas
247,Educación económica ,Finanzas
248,temas financieros como el ahorro e inversión,Finanzas
249,Finanzas,Finanzas
250,Ahorro y fondos de retiro para la vejez,Finanzas
251,Educación financiera ,Finanzas
252,"Finanzas, ahorro, SAT, predial",Finanzas
253,Libertad  y educación financiera,Finanzas
254,"Ahorro, inversión",Finanzas
255,Educación Financiera ,Finanzas
256,Conocimiento y responsabilidad financiera ,Finanzas
257,Sobre Afore y jubilación ,Finanzas
258,Temas como el bienestar financiero,Finanzas
259,Finanzas,Finanzas
260,,Finanzas
261,Educación financiera,Finanzas
262,Futuro,Futuro
263,El mundo que queremos crear,Futuro
264,Las condiciones de vida al futuro ,Futuro
265,Sobre el futuro,Futuro
266,"De nuestro futuro , sueños y metas a seguir ",Futuro
267,Objetivos de la vida ,Futuro
268,,Futuro
269,El futuro ,Futuro
270,,Futuro
271,,Futuro
272,Posibilidades del futuro,Futuro
273,De el futuro de México ,Futuro
274,La ansiedad que produce pensar en el futuro.,Futuro
275,El futuro ,Futuro y amor propio
276, En temas sobre inclusión ,Inclusión
277,Inclusión con las personas discapacitadas en el país y el cuidado de los ancianos ,Inclusión
278,Inclusión ,Inclusión
279,,Inclusión
280,Interculturalidad e inclusividad ,Inclusión
281,Inclusión,Inclusión
282,Sobre la comunidad LGBTTTIQ+ y la aceptación que estos merecen ,Inclusión 
283,Diversidad ,Inclusión 
284,,Inclusión  
285,Inseguridad ,Inseguridad
286,Inseguridad ,Inseguridad
287,,Inseguridad
288,,Inseguridad
289,Inseguridad ,Inseguridad
290,SEGURIDAD Y VIOLENCIA,Inseguridad
291,"Violencia, inseguridad , personas desaparecidas",Inseguridad
292,Feminicidios ,Inseguridad 
293,,Inteligencia emocional
294,Manejo de emociones y situaciones ,Inteligencia emocional
295,,Inteligencia emocional
296,"Empatía, respeto, limites de la libertad y responsabilidad ",Inteligencia emocional
297,Respeto,Inteligencia emocional
298,"Del respeto, la empatía",Inteligencia emocional
299,Inteligencia emocional ,Inteligencia emocional
300,Responsabilidad emocional,Inteligencia emocional
301,"Cuestiones emocionales 
",Inteligencia emocional
302,Amor propio,Inteligencia emocional
303,Auto aceptación,Inteligencia emocional
304, inteligencia emocional,Inteligencia emocional
305,Inteligencia emocional ,Inteligencia emocional
306,,Inteligencia emocional
307,Sobre las cosas que les dan inseguridad ,Inteligencia emocional
308,Acerca de la responsabilidad ,Inteligencia emocional
309,sentimientos y problemas,Inteligencia emocional
310,Gestión emocional ,Inteligencia emocional
311,Temas emocionales ,Inteligencia emocional
312,Educacion emocional,Inteligencia emocional
313,Responsabilidad afectiva,Inteligencia emocional
314,,Inteligencia emocional
315,Emocional,Inteligencia emocional
316,"Responsabilidad 
Amor propio
Respeto
Empatia
Solidaridad 
Autoestima",Inteligencia emocional
317,,Inteligencia emocional
318,Control de emociones,Inteligencia emocional
319,inteligencia emocional,Inteligencia emocional
320,,Inteligencia emocional
321,Como poner límites físicos y mentales,Inteligencia emocional 
322,Sobre la empatía y el sentido de la responsabilidad,Inteligencia emocional 
323,Nuestros sueldos y las prestaciones laborales,Laboral
324,Falta de empleo y oportunidades,Laboral
325,Desarrollo profesional,Laboral
326,Perspectivas del mundo laboral,Laboral
327,Salarios y aplicación real al mundo laboral ,Laboral
328,Lo difícil que es la transición a la vida de adulto ,Laboral
329,Orientación vocacional ,Laboral
330,Oportunidades laborales ,Laboral
331, cómo es el trabajo en la industria ,Laboral
332,Como empezar tu vida laboral ,Laboral
333,Ambiente laboral respecto a orientación sexual ,Laboral
334,"Empleabilidad, seguridad laboral, dignifica ion de la persona humana en el trabajo, igualdad de oportunidades incluso sin existir experiencia previa de años, igualdad de género en el ámbito laboral",Laboral
335,Generación de empleo ,Laboral
336,Oportunidad laboral ,Laboral
337,"Derechos de los trabajadores, igualdad aplicable,  tips para entrevistas de trabajo",Laboral
338,Derechos laborales,Laboral
339,Malos tratos laborales ,Laboral
340,Desarrollo laboral,Laboral
341," trabajo, empleo",Laboral
342,"
Equidad de género en el ámbito laboral.
",Laboral
343,Trabajo,Laboral
344,oportunidades laborales,Laboral
345,"Vida laboral, igualdad y acciones",Laboral
346,Responsabilidad en el trabajo,Laboral
347,"Roles laborales, beneficios y desventajas ",Laboral
348,Diferencias en el campo laboral,Laboral
349,"Ambiente laboral, educación, apoyos económicos",Laboral
350,"Empoderamiento laboral , expresión clara y concisa ",Laboral
351,Derechos Laborales,Laboral
352, acoso laboral de ambos géneros,Laboral
353,Falta de oportunidades,Laboral
354,Sobre el futuro laboral ,Laboral
355,De el trabajo o de lo que nos queremos dedicar,Laboral
356,Oportunidad y espacio lata los jóvenes ,Laboral
357,"Concientización sobre oportunidades de trabajo, estatus económico y cualquier otro estatus marcado como ""socialmente bien""",Laboral
358,Sobre temas del mundo laboral y resolución de problemas ,Laboral 
359,Sobre los sectores laborales y todo el proceso que requiere para tener mejores oportunidades ,Laboral 
360,Sobre miedos en el ámbito laboral ,Laboral 
361,Fuentes de trabajo,Laboral 
362,La vida laboral,Laboral 
363,Cuestiones legales,Legal
364,Libertad ,Libertad
365,Liderazgo,Liderazgo
366,El liderazgo dentro las relaciones laborales.,Liderazgo
367,Habilidades de liderazgo ,Liderazgo
368,,Liderazgo
369,Liderazgo,Liderazgo 
370,Liderazgo,Liderazgo 
371,,Machismo
372,Sobre el machismo y respeto hacia las mujeres ,Machismo
373,,Medio ambiente
374,Clima y medio ambiente,Medio ambiente
375,Cuidado ambiental,Medio ambiente
376,Contaminación ,Medio ambiente
377,Recursos naturales  ,Medio ambiente
378,Contaminación ,Medio Ambiente
379,El cuidado del ambiente ,Medio ambiente
380,Situación ambiental ,Medio ambiente
381,,Medio ambiente
382,Cambio climático ,Medio ambiente
383,cambio climatico ,Medio ambiente
384,Cambio climático ,Medio Ambiente
385,Ecología,Medio Ambiente
386,Medio ambiente,Medio ambiente
387,como podemos potencializar a un pueblo de forma turística sin dañar o afectar el medio ambiente.,Medio ambiente
388,Educación ambiental ,Medio ambiente
389,Cuidado del planeta,Medio ambiente
390,Futuro del medio ambiente ,Medio ambiente
391,,Medio ambiente
392,Calentamiento global ,Medio ambiente
393,"Acerca de la situación actual del mundo, el medio ambiente",Medio ambiente
394,Ecológia ,Medio ambiente
395,"Sostenibilidad, planeación urbana, inclusión de movilidad. ",Medio ambiente
396,La contaminación,Medio ambiente 
397,,Medio ambiente 
398,Responsabilidad ambiental ,Medio ambiente 
399,Crisis ambiental,Medio Ambiente 
400,Ambiente ,Medio Ambiente 
401,De medio ambiente ,Medio ambiente 
402,,Medio ambiente 
403,Politica ,Política
404,Política ,Política
405,Política,Política
406,Política ,Política
407,Politica,Política
408,,Política
409,,Política
410,,Política
411,Política,Política
412,Política ,Política
413,,Política
414,Política,Política
415,,Política
416,Política,Política
417,políticas publicas,Política
418,"Consumo desmedido de recursos, partidos políticos",Política
419,Politicas de nuestro pais,Política
420,,Política
421,,Política
422,,Política
423,Política,Política
424,Gobierno ,Política
425,Política,Política
426,"Política, para tomar mejores decisiones al momento de votar o para exigir que se cumplan las labores gubernamentales en los 3 niveles de gobierno ",Política
427,Polotica,Política
428,,Política
429,Ideologías políticas ,Política
430,Política ,Política
431,,Política
432,política para el futuro ,Política
433,,Política
434,Políticas públicas ,Política
435,Politica,Política
436,Sobre política,Política
437,Política ,Política
438,Política  ,Política
439,,Política
440,Política ,Política
441,Política ,Política
442,Política ,Política
443,sobre nuestros derechos ,Política
444,Política ,Política
445,Politica,Política
446,Política ,Política
447,Política ,Política
448,,Política
449,,Política
450,Política ,Política
451,Política de manera respetuosa ,Política
452,Política ,Política
453,Política,Política
454,Política,Política
455,Cómo reaccionar en momentos de peligro o riesgo ,Prevención en situaciones de riesgo
456,,Redes sociales
457,,Redes sociales
458,el impacto de las redes sociales en las decisiones de los jóvenes ,Redes sociales
459,Sobre las redes sociales ,Redes sociales 
460,Sobre el amor de Dios a las personas,Religión
461,,Religión
462,,Religión
463,Responsabilidad social ,Responsabilidad emocional
464,Compromiso social,Responsabilidad social
465,,Responsabilidad social
466,,Responsabilidad social
467,De responsabilidad social,Responsabilidad social
468,sobre qué podemos hacer para que este sea mejor Gracias a nosotros ,Responsabilidad social
469,,Responsabilidad social
470,En la responsabilidad social ,Responsabilidad social
471,Responsabilidad social,Responsabilidad social
472,Responsabilidad social ,Responsabilidad social 
473,Responsabilidad social ,Responsabilidad social 
474,Deporte,Salud
475,Desnutrición en niños.,Salud
476,,Salud
477,Nutrición,Salud
478,vida saludable,Salud
479,,Salud  
480,Mujeres en el deporte ,Salud  
481,Estabilidad emocional ,Salud mental
482,Educación psicológica y Espiritual ,Salud mental
483,Salud Mental,Salud mental
484,Salud mental en el estudio y el trabajo ,Salud mental
485,,Salud mental
486,Autoestima y depresión ,Salud mental
487,Depresión ,Salud mental
488,La salud mental  ,Salud mental
489,Salud mental,Salud mental
490,Salud mental ,Salud mental
491,Depresión,Salud mental
492,Estabilidad emocional ,Salud mental
493,Apoyo emocional salud mental,Salud mental
494,Ansiedad y como nos sentimos ,Salud mental
495,,Salud mental
496,,Salud mental
497,,Salud mental
498, enfermedades mentales ,Salud mental
499,,Salud mental
500,,Salud mental
501,Importancia de la salud mental ,Salud Mental
502,Salud mental ,Salud mental 
503,Bienestar estudiantil. ,Salud mental 
504,Salud emocional. ,Salud mental 
505,Salud mental,Salud mental 
506,Ansiedad,Salud mental 
507,,Salud mental 
508,,Salud mental 
509,Violencia,Seguridad
510,Violencia,Seguridad
511,Sobre la seguridad,Seguridad
512,Violencia ,Seguridad
513,,Seguridad
514,ACOSO DE TODO TIPO,Seguridad
515,Violencia en todas sus variantes ,Seguridad
516,Seguridad ,Seguridad
517,,Seguridad
518,Violencia de género ,Seguridad
519,,Seguridad
520, La inseguridad ,Seguridad
521, temas sociales que llevanna ala violencia,Seguridad
522,,Seguridad
523,"trata de blancas y menores, feminicidios",Seguridad 
524,Sobre la seguridad en las personas ,Seguridad 
525,Seguridad Pública,Seguridad 
526,La violencia,Seguridad 
527,sexualidad ,Sexualidad
528,Sexualidad,Sexualidad
529,Educación sexual,Sexualidad
530,Sexualidad ,Sexualidad
531,Sexualidad,Sexualidad
532,,Sexualidad
533,Sexualidad y orientación sexual ,Sexualidad
534,Sexualidad,Sexualidad
535,Educación sexual y respeto para todos,Sexualidad
536,"Aborto, sexualidad, orientación sexual",Sexualidad
537,Sexualidad ,Sexualidad
538,Comunidad LGBTQ+,Sexualidad
539,Educación sexual ,Sexualidad
540,Respeto a la diversidad sexual,Sexualidad
541,Sexualidad,Sexualidad
542,Educación Sexual ,Sexualidad
543,Sobre educación sexual,Sexualidad
544,Sexualidad ,Sexualidad
545,Sexualidad ,Sexualidad
546,Educación sexual,Sexualidad
547,Sexualidad / embarazos no deseados,Sexualidad
548,Quitar tabú y educación real sobre sexualidad,Sexualidad
549,Educación sexual,Sexualidad
550,sexualidad responsable,Sexualidad
551,Educación sexual ,Sexualidad
552,Sexualidad ,Sexualidad
553,sexualidad,Sexualidad
554,Educación sexual,Sexualidad
555,"Sexualidad,",Sexualidad
556, Sexualidad ,Sexualidad
557,Educación sexual,Sexualidad
558,Sexualidad y respeto ,Sexualidad
559,Sexo  ,Sexualidad
560,Orientación sexual ,Sexualidad
561,Preferencias sexuales ,Sexualidad
562,sexualidad ,Sexualidad
563,Sexualidad,Sexualidad
564,Sexualidad,Sexualidad
565,Sexualidad amor propio ,Sexualidad
566,Sexualidad,Sexualidad
567,Sexualidad relaciones y sus inseguridades ,Sexualidad
568,La importancia de los embarazos ,Sexualidad
569,Temas de diversidad sexual ,Sexualidad
570,"Educación sexual, apoyo a la comunidad LGBTQI+",Sexualidad
571,Sexualidad,Sexualidad
572,Educación sexual ,Sexualidad
573,Sexualidad ,Sexualidad
574,sexualidad ,Sexualidad
575,,Sexualidad
576,,Sexualidad
577,,Sexualidad
578,,Sexualidad
579,Sexualidad,Sexualidad
580,"Sexo 
LGBTQI+  ",Sexualidad
581,La importancia de la responsabilidad y compromiso ,Sociedad
582,Participacion ciudadana,Sociedad
583,"Unión, Trabajo En Equipo.",Sociedad
584,problemas en la comunidad ,Sociedad
585,Cultura ,Sociedad
586,Familia,Sociedad
587,Respeto y tolerancia,Sociedad
588,Valores y cultura en general,Sociedad
589,La falta de empatía,Sociedad
590,Sobre el rumbo de nuestro país,Sociedad
591,Valores ,Sociedad
592,Actitudes y sobre todo valores,Sociedad
593,Planificación familiar  ,Sociedad
594,Valores,Sociedad
595,"Valores, ética, y responsabilidad civil ",Sociedad
596,sociales,Sociedad
597,Valores ,Sociedad
598,Estrés social,Sociedad
599,Responsabilidad y respeto,Sociedad
600,Tolerancia,Sociedad
601,"La evolución social, los nuevos contextos y los actantes generacionales. La tolerancia y respeto, además de la frustración y el cómo llegar a una solución con los temas globales. ",Sociedad
602,"valores, respeto, discriminación",Sociedad
603,"Sociedad, Valores, Ética, ",Sociedad
604,Situacion social,Sociedad
605,Civismo ,Sociedad
606,"Etica, responsabilidad, educación vial, etc.",Sociedad
607,Compromiso ,Sociedad
608, valores,Sociedad
609,Valores,Sociedad
610,Tolerancia ,Sociedad
611,De valores,Sociedad
612,valores,Sociedad
613,De valores ,Sociedad
614,Principios y valores,Sociedad
615,Respeto ,Sociedad
616,valores,Sociedad
617," Ética, valores",Sociedad
618,Tolerancia ,Sociedad
619,"Valores de familia, comunidad, cultura.",Sociedad
620,ética y responsabilidad ,Sociedad
621,Valores,Sociedad
622,Famila,Sociedad
623,Valores,Sociedad
624,La cultura e historia de nuestro país,Sociedad
625,cultura para poder ser mejores personas ,Sociedad
626,Valores,Sociedad
627,"valores, responsabilidades y los limites de juzgar todas las cosas ",Sociedad
628,Valores,Sociedad
629,Valores ,Sociedad
630,Valores y respeto ,Sociedad
631,Valores,Sociedad
632,Ciencias sociales ,Sociedad
633,Sociedad actual y valores ,Sociedad
634,Valores ,Sociedad 
635,Relaciones personales ,Sociedad 
636,"Urbanismo, instituciones",Sociedad 
637,Tolerancia y respeto ,Sociedad 
638,La familia ,Sociedad 
639, lo que la tecnología a echo,Tecnología
640,Inovación,Tecnología
641,Innovación,Tecnología
642,El buen uso de la tecnología ,Tecnología
643,Ciencia y tecnologia,Tecnología
644,Innovación,Tecnología
645,De todo un poco ,Todo
646,"Honestamente, todos.",Todo
647,Realmente de todo tipo de temas para ampliar el conocimiento ,Todo
648,De todos,Todo
649,"de cualquier tema en general, ahora es más gratificante hablar con alguien que estar viendo el celular ",Todo
650,Drogas,Vicios
651,Vicios ,Vicios
652,Drogas,Vicios
653,Drogas,Vicios
654,"Adicciones. Cada vez hay más chavitos tomando, fumando y desde edades súper jóvenes ",Vicios
655,Adiciones ,Vicios
656,Drogas,Vicios 
657,Violencia de género ,Violencia
658,Acoso,Violencia
659,Todo,
660,Identidad de género y violencia de género ,
